epoca;gen;ac;ap;nc;ng;areac;compg;largg;nr;mc;rgpla;icc;ngcap;mmg
E3;G144;62;78;7;48;0.352248046;0.395516363;0.220386974;0;0.26;0.21;0.807692308;6.857142857;4.375
E3;G145;68;93;23;166;0.374000825;0.443611271;0.240976507;0;1.16;0.86;0.74137931;7.217391304;5.180722892
E3;G146;62;83;12;55;0.312087488;0.435589532;0.237588764;0;0.43;0.24;0.558139535;4.583333333;4.363636364
E3;G147;60;82;13;69;0.337379077;0.451661295;0.238307699;0;0.49;0.24;0.489795918;5.307692308;3.47826087
E3;G148;57;83;10;47;0.367033955;0.440903863;0.237582902;0;0.34;0.26;0.764705882;4.7;5.531914894
E3;G149;53;70;12;55;0.382505306;0.444542583;0.236971774;0;0.48;0.34;0.708333333;4.583333333;6.181818182
E3;G150;56;69;7;45;0.337200033;0.433851365;0.234619611;0;0.26;0.22;0.846153846;6.428571429;4.888888889
E3;G151;66;85;8;47;0.293303898;0.456406916;0.237243911;0;0.29;0.18;0.620689655;5.875;3.829787234
E3;G152;65;81;11;41;0.251507763;0.456574953;0.231595568;0;0.31;0.2;0.64516129;3.727272727;4.87804878
E3;G153;54;75;18;71;0.279454976;0.430713058;0.228347518;2;0.5;0.29;0.58;3.944444444;4.084507042
E3;G154;47;73;15;72;0.266279931;0.428512336;0.226011702;0;0.51;0.34;0.666666667;4.8;4.722222222
E3;G155;45;76;19;107;0.316338703;0.448047716;0.237523693;0;0.78;0.49;0.628205128;5.631578947;4.579439252
E3;G156;65;78;10;39;0.292753285;0.440241198;0.235444713;0;0.28;0.18;0.642857143;3.9;4.615384615
E3;G157;64;79;13;93;0.317001624;0.447347404;0.238256369;0;0.54;0.38;0.703703704;7.153846154;4.086021505
E3;G158;72;82;8;47;0.308450506;0.425666574;0.215535091;0;0.27;0.21;0.777777778;5.875;4.468085106
E3;G159;56;70;7;37;0.359481596;0.456363925;0.244621576;0;0.24;0.18;0.75;5.285714286;4.864864865
E4;G160;72;90;17;74;0.321118281;0.417411774;0.242537993;0;0.54;0.34;0.62962963;4.352941176;4.594594595
E4;G161;66;79;36;161;0.306343711;0.414962672;0.231682831;1;0.83;0.72;0.86746988;4.472222222;4.472049689
E4;G162;53;63;16;60;0.297681409;0.398561797;0.226868491;2;0.46;0.22;0.47826087;3.75;3.666666667
E4;G163;56;66;16;97;0.302865002;0.424547011;0.230953865;2;0.58;0.37;0.637931034;6.0625;3.81443299
E4;G164;64;76;16;68;0.283505122;0.400555738;0.211969647;1;0.46;0.21;0.456521739;4.25;3.088235294
E4;G165;59;64;5;21;0.349302585;0.451126245;0.239363448;0;0.18;0.1;0.555555556;4.2;4.761904762
E4;G166;71;80;10;49;0.299422006;0.405170635;0.218064295;0;0.33;0.16;0.484848485;4.9;3.265306122
E4;G167;70;82;20;81;0.330728203;0.424272621;0.235536155;0;0.65;0.35;0.538461538;4.05;4.320987654
E4;G168;57;69;12;67;0.320608828;0.40720279;0.219083789;0;0.35;0.24;0.685714286;5.583333333;3.582089552
E4;G169;71;79;17;80;0.32067914;0.423307839;0.230622829;0;0.5;0.34;0.68;4.705882353;4.25
E4;G170;73;85;25;178;0.29437508;0.400327169;0.212761631;0;1.02;0.56;0.549019608;7.12;3.146067416
E4;G171;62;74;12;61;0.300211892;0.400298234;0.224602712;0;0.39;0.26;0.666666667;5.083333333;4.262295082
E4;G172;50;61;2;7;0.300471546;0.401522624;0.224449102;0;0.06;0.02;0.333333333;3.5;2.857142857
E4;G173;57;67;8;34;0.291103485;0.396182691;0.219239858;0;0.22;0.14;0.636363636;4.25;4.117647059
E4;G174;59;70;17;85;0.292015119;0.405466651;0.217016389;0;0.46;0.34;0.739130435;5;4
E4;G175;62;66;21;101;0.271245852;0.370983239;0.209122789;1;0.51;0.32;0.62745098;4.80952381;3.168316832
E4;G176;62;72;4;11;0.26800729;0.408944345;0.215252391;0;0.03;0.01;0.333333333;2.75;0.909090909
E4;G177;62;82;40;213;0.274764903;0.401214631;0.214651322;2;1.2;0.78;0.65;5.325;3.661971831
E4;G178;65;78;16;73;0.221751723;0.383268771;0.211983667;0;0.4;0.28;0.7;4.5625;3.835616438
E4;G179;55;61;7;27;0.30321349;0.419899942;0.222026869;0;0.22;0.1;0.454545455;3.857142857;3.703703704
E4;G180;65;69;7;30;0.26965773;0.443641129;0.253118735;0;0.2;0.15;0.75;4.285714286;5
E4;G181;71;82;11;35;0.284376123;0.428675999;0.229634164;0;0.26;0.13;0.5;3.181818182;3.714285714
E4;G182;59;66;10;39;0.257146017;0.392130892;0.214300833;0;0.18;0.11;0.611111111;3.9;2.820512821
E4;G183;65;71;10;54;0.260548282;0.397988666;0.213141571;0;0.26;0.19;0.730769231;5.4;3.518518519
E4;G184;58;72;6;35;0.271765543;0.383023103;0.211417027;0;0.18;0.12;0.666666667;5.833333333;3.428571429
E4;G185;49;60;18;67;0.283697579;0.425021945;0.221858509;1;0.37;0.29;0.783783784;3.722222222;4.328358209
E4;G186;56;61;9;27;0.29171059;0.422951427;0.242428213;0;0.17;0.11;0.647058824;3;4.074074074
E4;G187;44;54;4;17;0.229786687;0.38527173;0.211357186;0;0.1;0.06;0.6;4.25;3.529411765
E4;G188;61;66;25;72;0.303032726;0.403878254;0.20587944;2;0.55;0.31;0.563636364;2.88;4.305555556
E4;G189;57;65;2;4;0.275285978;0.409190579;0.227049464;0;0.04;0.05;1.25;2;12.5
E4;G190;59;72;11;38;0.310335059;0.421700272;0.227805437;1;0.22;0.14;0.636363636;3.454545455;3.684210526
E4;G191;62;71;9;37;0.31127636;0.429421984;0.225474766;0;0.22;0.16;0.727272727;4.111111111;4.324324324
E4;G192;55;70;8;61;0.324135909;0.388040902;0.209032451;0;0.3;0.25;0.833333333;7.625;4.098360656
E4;G193;74;74.5;11;45;0.267011398;0.407589045;0.213360032;0;0.23;0.15;0.652173913;4.090909091;3.333333333
E4;G194;60;66;12;73;0.301254187;0.395258755;0.220560341;0;0.34;0.21;0.617647059;6.083333333;2.876712329
E4;G195;57;74;27;169;0.308308308;0.391478939;0.20296918;0;1.02;0.73;0.715686275;6.259259259;4.319526627
E4;G196;53;71;27;107;0.279856507;0.418217435;0.236851605;2;0.74;0.49;0.662162162;3.962962963;4.579439252
E4;G197;44;63;22;122;0.277498946;0.41058763;0.215118562;2;0.73;0.53;0.726027397;5.545454545;4.344262295
E4;G198;55;63;12;36;0.257629892;0.389836594;0.2067432;0;0.27;0.14;0.518518519;3;3.888888889
E4;G199;54;64;14;59;0.294455313;0.39401129;0.206441051;0;0.37;0.2;0.540540541;4.214285714;3.389830508
E4;G200;51;65;20;126;0.31252397;0.404657729;0.217624793;0;0.7;0.51;0.728571429;6.3;4.047619048
E4;G201;64;78;23;83;0.275414915;0.390003337;0.199127895;0;0.56;0.33;0.589285714;3.608695652;3.975903614
E4;G202;51.5;57;8;26;0.269392789;0.412700347;0.217422727;0;0.15;0.12;0.8;3.25;4.615384615
E4;G203;50;58;19;102;0.270796877;0.390665348;0.210210879;0;0.59;0.39;0.661016949;5.368421053;3.823529412
